asset,timeframe,model,strategy_id,net_sr_18bp,auc,pbo,unbal_long_pct,bal_long_pct,events,config
ETH,1h,CatBoost,EXT_ETH_1h_CatBoost,-1.2828,0.4928,1.0,0.905,0.4522,10889,
ETH,1h,LightGBM,EXT_ETH_1h_LightGBM,-1.0966,0.4859,1.0,0.8173,0.522,10889,
ETH,1h,RF,EXT_ETH_1h_RF,-1.3091,0.5068,1.0,0.9541,0.5275,10889,
ETH,1d,CatBoost,EXT_ETH_1d_CatBoost,0.7879,0.6161,1.0,0.7863,0.3969,653,
ETH,1d,LightGBM,EXT_ETH_1d_LightGBM,1.6402,0.6448,1.0,0.6947,0.6336,653,
ETH,1d,RF,EXT_ETH_1d_RF,1.3981,0.6308,1.0,0.7939,0.6031,653,
SOL,1h,CatBoost,EXT_SOL_1h_CatBoost,-0.2063,0.5109,1.0,0.9704,0.3225,12000,
SOL,1h,LightGBM,EXT_SOL_1h_LightGBM,-0.2514,0.5282,1.0,0.7946,0.4492,12000,
SOL,1h,RF,EXT_SOL_1h_RF,-0.1538,0.5194,1.0,0.9642,0.3758,12000,
SOL,1d,CatBoost,EXT_SOL_1d_CatBoost,0.4977,0.5639,1.0,0.6803,0.4836,608,
SOL,1d,LightGBM,EXT_SOL_1d_LightGBM,0.8168,0.5412,1.0,0.7213,0.6557,608,
SOL,1d,RF,EXT_SOL_1d_RF,1.9414,0.5876,1.0,0.6721,0.4672,608,
BTC,1h,CatBoost,EXT_BTC_1h_CatBoost,-0.8767,0.5008,1.0,0.9715,0.4229,15271,
BTC,1h,LightGBM,EXT_BTC_1h_LightGBM,-1.053,0.4885,1.0,0.8871,0.4795,15271,
BTC,1h,RF,EXT_BTC_1h_RF,-0.8546,0.5036,1.0,0.9843,0.4537,15271,
BTC,1d,CatBoost,EXT_BTC_1d_CatBoost,0.6912,0.4831,1.0,0.7572,0.4624,864,
BTC,1d,LightGBM,EXT_BTC_1d_LightGBM,0.3842,0.4616,1.0,0.7283,0.6243,864,
BTC,1d,RF,EXT_BTC_1d_RF,0.6641,0.4682,1.0,0.7688,0.5954,864,
BTC,multi,DM_CB,COST_DM_CB_0bp,0.954,,,,,0,
BTC,multi,ML_1h,COST_ML_1h_0bp,0.6398,,,,,0,
BTC,multi,ML_15m,COST_ML_15m_0bp,0.4163,,,,,0,
BTC,multi,DM_CB,COST_DM_CB_5bp,0.9438,,,,,0,
BTC,multi,ML_1h,COST_ML_1h_5bp,0.6094,,,,,0,
BTC,multi,ML_15m,COST_ML_15m_5bp,0.3522,,,,,0,
BTC,multi,DM_CB,COST_DM_CB_10bp,0.9336,,,,,0,
BTC,multi,ML_1h,COST_ML_1h_10bp,0.579,,,,,0,
BTC,multi,ML_15m,COST_ML_15m_10bp,0.2882,,,,,0,
BTC,multi,DM_CB,COST_DM_CB_18bp,0.9173,,,,,0,
BTC,multi,ML_1h,COST_ML_1h_18bp,0.5303,,,,,0,
BTC,multi,ML_15m,COST_ML_15m_18bp,0.1858,,,,,0,
BTC,multi,DM_CB,COST_DM_CB_30bp,0.8928,,,,,0,
BTC,multi,ML_1h,COST_ML_1h_30bp,0.4572,,,,,0,
BTC,multi,ML_15m,COST_ML_15m_30bp,0.0324,,,,,0,
BTC,multi,DM_CB,COST_DM_CB_50bp,0.8517,,,,,0,
BTC,multi,ML_1h,COST_ML_1h_50bp,0.3353,,,,,0,
BTC,multi,ML_15m,COST_ML_15m_50bp,-0.222,,,,,0,
BTC,1d,Baseline,BASE_Buy & Hold,0.6179,,,,,0,
BTC,1d,Baseline,BASE_SMA 200,0.7229,,,,,0,
BTC,1d,Baseline,BASE_RSI(14)>50,0.8045,,,,,0,
BTC,1d,Baseline,BASE_MACD Cross,0.6127,,,,,0,
BTC,1d,Baseline,BASE_DM 252/126+CB,0.9173,,,,,0,
BTC,1d,Baseline,BASE_1h ML balanced,0.5303,,,,,0,
BTC,1h,CatBoost_BullBias,BB_BTC_CatBoost,-0.8767,0.5008,,0.9715,0.4229,15271,
ETH,1h,CatBoost_BullBias,BB_ETH_CatBoost,-1.2828,0.4928,,0.905,0.4522,10889,
SOL,1h,CatBoost_BullBias,BB_SOL_CatBoost,-0.2063,0.5109,,0.9704,0.3225,12000,
BTC,1h,LSTM,BB_LSTM_unbalanced,-1.1695,0.5184,,0.5768,,0,
BTC,1h,LSTM,BB_LSTM_balanced,-1.1492,0.519,,0.5234,,0,
BTC,1h,SimpleRNN,BB_SimpleRNN_unbalanced,-1.3634,0.5197,,0.6333,,0,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.15_d-0.2,0.6317,,,0.2407,,83,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.15_d-0.2,0.6317,,,0.2407,,83,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.15_d-0.2,0.6285,,,0.2397,,83,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.2_d-0.2,0.5931,,,0.2757,,74,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.2_d-0.2,0.5931,,,0.2757,,74,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.15_d-0.2,0.5917,,,0.2251,,89,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.2_d-0.2,0.5837,,,0.2742,,76,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.15_d-0.1,0.5092,,,0.2162,,110,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.15_d-0.1,0.5092,,,0.2162,,110,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.15_d-0.1,0.5057,,,0.2151,,110,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.15_d-0.15,0.5016,,,0.2366,,93,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.15_d-0.15,0.5016,,,0.2366,,93,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.15_d-0.15,0.4982,,,0.2355,,93,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.1_d-0.2,0.4952,,,0.1718,,72,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.15_d-0.15,0.4544,,,0.2209,,99,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.15_d-0.1,0.4413,,,0.2037,,108,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.2_d-0.2,0.4412,,,0.2548,,87,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.15_d-0.25,0.4296,,,0.2428,,87,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.15_d-0.25,0.4296,,,0.2428,,87,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.15_d-0.25,0.4264,,,0.2418,,87,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.2_d-0.15,0.4124,,,0.271,,85,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.2_d-0.15,0.4124,,,0.271,,85,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.2_d-0.25,0.4082,,,0.2778,,78,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.2_d-0.25,0.4082,,,0.2778,,78,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.2_d-0.15,0.4026,,,0.2695,,87,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.2_d-0.1,0.4024,,,0.2491,,108,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.2_d-0.1,0.4024,,,0.2491,,108,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.2_d-0.25,0.399,,,0.2762,,80,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.2_d-0.1,0.3921,,,0.2475,,110,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.1_d-0.2,0.3894,,,0.1828,,66,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.1_d-0.2,0.3894,,,0.1828,,66,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.1_d-0.2,0.3855,,,0.1817,,66,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.15_d-0.25,0.3806,,,0.2272,,93,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.05_d-0.2,0.3773,,,0.1363,,76,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.1_d-0.15,0.3679,,,0.1681,,78,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.05_d-0.2,0.3204,,,0.1452,,68,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.05_d-0.2,0.3204,,,0.1452,,68,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.05_d-0.2,0.316,,,0.1441,,68,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.1_d-0.1,0.308,,,0.1567,,85,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.05_d-0.15,0.2691,,,0.1337,,82,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.1_d-0.25,0.2628,,,0.1739,,76,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.1_d-0.15,0.2618,,,0.1791,,72,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.1_d-0.15,0.2618,,,0.1791,,72,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.1_d-0.15,0.2576,,,0.1781,,72,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.2_d-0.25,0.2522,,,0.2569,,91,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.2_d-0.15,0.2455,,,0.2501,,99,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.1_d-0.1,0.2181,,,0.1645,,87,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.1_d-0.1,0.2181,,,0.1645,,87,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.1_d-0.1,0.2136,,,0.1634,,87,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.05_d-0.15,0.2125,,,0.1426,,74,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.05_d-0.15,0.2125,,,0.1426,,74,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.2_d-0.1,0.2108,,,0.2313,,114,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.05_d-0.15,0.2079,,,0.1415,,74,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.1_d-0.25,0.1677,,,0.1849,,70,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.1_d-0.25,0.1677,,,0.1849,,70,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.1_d-0.25,0.1637,,,0.1838,,70,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.05_d-0.25,0.1316,,,0.1384,,80,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.05_d-0.1,0.1232,,,0.1243,,83,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.05_d-0.1,0.0913,,,0.13,,82,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.05_d-0.1,0.0913,,,0.13,,82,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.05_d-0.1,0.0862,,,0.129,,82,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.05_d-0.25,0.0829,,,0.1473,,72,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.05_d-0.25,0.0829,,,0.1473,,72,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.05_d-0.25,0.0785,,,0.1462,,72,
BTC,1h,CatBoost,OF_trade_imbalance_CatBoost,-1.3913,0.5059,1.0,0.9663,0.4354,15271,
BTC,1h,LightGBM,OF_trade_imbalance_LightGBM,-1.8595,0.491,1.0,0.8966,0.4769,15271,
BTC,1h,RF,OF_trade_imbalance_RF,-1.4798,0.5031,1.0,0.9869,0.4609,15271,
BTC,1h,CatBoost,OF_buy_sell_ratio_CatBoost,-1.5202,0.5106,1.0,0.9676,0.4193,15271,
BTC,1h,LightGBM,OF_buy_sell_ratio_LightGBM,-1.6726,0.4908,1.0,0.8854,0.4897,15271,
BTC,1h,RF,OF_buy_sell_ratio_RF,-1.5804,0.5003,1.0,0.9853,0.4648,15271,
BTC,1h,CatBoost,OF_net_flow_zscore_24_CatBoost,-1.3395,0.5069,1.0,0.9692,0.4386,15271,
BTC,1h,LightGBM,OF_net_flow_zscore_24_LightGBM,-1.4884,0.494,1.0,0.8812,0.4753,15271,
BTC,1h,RF,OF_net_flow_zscore_24_RF,-1.5691,0.51,1.0,0.9866,0.4756,15271,
BTC,1h,CatBoost,OF_net_flow_zscore_168_CatBoost,-1.1545,0.4993,1.0,0.9725,0.4111,15271,
BTC,1h,LightGBM,OF_net_flow_zscore_168_LightGBM,-1.3551,0.4954,1.0,0.8776,0.4979,15271,
BTC,1h,RF,OF_net_flow_zscore_168_RF,-1.1801,0.5124,1.0,0.9885,0.4861,15271,
BTC,1h,CatBoost,OF_cum_imbalance_24h_CatBoost,-1.6082,0.5071,1.0,0.9718,0.4596,15271,
BTC,1h,LightGBM,OF_cum_imbalance_24h_LightGBM,-1.3316,0.4891,1.0,0.8707,0.508,15271,
BTC,1h,RF,OF_cum_imbalance_24h_RF,-1.3079,0.5092,1.0,0.9856,0.4802,15271,
BTC,1h,CatBoost,OF_cum_imbalance_72h_CatBoost,-1.549,0.5008,1.0,0.9741,0.4124,15271,
BTC,1h,LightGBM,OF_cum_imbalance_72h_LightGBM,-1.4965,0.4844,1.0,0.8854,0.4871,15271,
BTC,1h,RF,OF_cum_imbalance_72h_RF,-1.7604,0.5057,1.0,0.9925,0.4481,15271,
BTC,1h,CatBoost,OF_impact_zscore_CatBoost,-1.3742,0.5075,1.0,0.9686,0.4314,15271,
BTC,1h,LightGBM,OF_impact_zscore_LightGBM,-1.7328,0.4852,1.0,0.8867,0.4681,15271,
BTC,1h,RF,OF_impact_zscore_RF,-1.4591,0.5067,1.0,0.9876,0.4439,15271,
BTC,1h,CatBoost,OF_amihud_zscore_CatBoost,-1.6469,0.4976,1.0,0.9702,0.4262,15271,
BTC,1h,LightGBM,OF_amihud_zscore_LightGBM,-1.4877,0.4957,1.0,0.8773,0.4789,15271,
BTC,1h,RF,OF_amihud_zscore_RF,-1.5604,0.5064,1.0,0.9869,0.4563,15271,
BTC,1h,CatBoost,OF_roll_spread_CatBoost,-1.4567,0.5108,1.0,0.9699,0.4046,15271,
BTC,1h,LightGBM,OF_roll_spread_LightGBM,-1.388,0.5017,1.0,0.8556,0.4841,15271,
BTC,1h,RF,OF_roll_spread_RF,-1.2396,0.5104,1.0,0.9889,0.4517,15271,
BTC,1h,CatBoost,OF_signed_run_CatBoost,-1.4304,0.5089,1.0,0.9722,0.4373,15271,
BTC,1h,LightGBM,OF_signed_run_LightGBM,-1.7983,0.4979,1.0,0.8845,0.493,15271,
BTC,1h,RF,OF_signed_run_RF,-1.6485,0.5055,1.0,0.9849,0.4864,15271,
BTC,1h,CatBoost,OF_vol_price_divergence_CatBoost,-1.606,0.5078,1.0,0.9722,0.4098,15271,
BTC,1h,LightGBM,OF_vol_price_divergence_LightGBM,-1.7553,0.5031,1.0,0.8753,0.4786,15271,
BTC,1h,RF,OF_vol_price_divergence_RF,-1.4921,0.5038,1.0,0.9892,0.4599,15271,
BTC,1d,DM+VolOverlay,VOL_binary_thr0.5_w7,0.4049,,,0.2816,0.2816,168,
BTC,1d,DM+VolOverlay,VOL_binary_thr0.55_w7,0.5539,,,0.3133,0.3133,160,
BTC,1d,DM+VolOverlay,VOL_binary_thr0.6_w7,0.4494,,,0.3432,0.3432,140,
BTC,1d,DM+VolOverlay,VOL_binary_thr0.65_w7,0.6328,,,0.3669,0.3669,156,
BTC,1d,DM+VolOverlay,VOL_gradual_thr0.5_w7,-0.8309,,,0.2816,0.2816,755,
BTC,1d,DM+VolOverlay,VOL_gradual_thr0.55_w7,-0.841,,,0.3133,0.3133,816,
BTC,1d,DM+VolOverlay,VOL_binary_thr0.5_w30,0.6968,,,0.3011,0.3011,74,
BTC,1d,DM+VolOverlay,VOL_binary_thr0.55_w30,0.6707,,,0.3307,0.3307,64,
MULTI,1d,Momentum,XS_mom7d_top3,-0.3094,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom7d_top5,-0.3688,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom7d_top10,-0.8397,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom14d_top3,0.049,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom14d_top5,-0.0073,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom14d_top10,-0.7397,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom30d_top3,-0.0921,,,0.9988,0.9988,845,
MULTI,1d,Momentum,XS_mom30d_top5,-0.5008,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom30d_top10,-0.9384,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom60d_top3,-0.0879,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom60d_top5,-0.3566,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom60d_top10,-0.8211,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom90d_top3,0.1058,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom90d_top5,-0.3366,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom90d_top10,-0.907,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom120d_top3,0.1815,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom120d_top5,-0.1716,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom120d_top10,-0.8652,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom252d_top3,0.1349,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom252d_top5,-0.1035,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom252d_top10,-0.9179,,,1.0,1.0,845,
MULTI,1d,CTREND,XS_CTREND_top3,0.3498,,,1.0,1.0,845,
MULTI,1d,CTREND,XS_CTREND_top5,-0.2157,,,1.0,1.0,845,
MULTI,1d,CTREND,XS_CTREND_top10,-0.8442,,,1.0,1.0,845,
BTC,1h,CatBoost,TB_pt1.0_sl1.5_CatBoost,-1.8749,0.5083,1.0,0.9801,0.4592,15559,
BTC,1h,LightGBM,TB_pt1.0_sl1.5_LightGBM,-1.5749,0.5117,1.0,0.8924,0.4875,15559,
BTC,1h,RF,TB_pt1.0_sl1.5_RF,-1.5188,0.5138,1.0,0.9897,0.474,15559,
BTC,1h,CatBoost,TB_pt1.0_sl2.0_CatBoost,-1.5389,0.5027,1.0,0.9967,0.3963,15328,
BTC,1h,LightGBM,TB_pt1.0_sl2.0_LightGBM,-1.5267,0.5057,1.0,0.9635,0.5023,15328,
BTC,1h,RF,TB_pt1.0_sl2.0_RF,-1.7297,0.5011,1.0,0.9971,0.4638,15328,
BTC,1h,CatBoost,TB_pt1.0_sl2.5_CatBoost,-1.4763,0.4942,1.0,0.998,0.3968,15070,
